cell_id,family,task,model,seed,explainer,predictor_competence_pass,test_auroc,n_calibration_rationale,n_test_rationale,fraction_grid,test_risk,mean_atom_fraction,precision,iou,random_test_risk,random_mean_atom_fraction,atom_fraction_saving_vs_random,fixed20_risk,fixed50_risk,risk_pass,efficiency_pass,oracle_fraction,oracle_calibration_risk,oracle_corrected_risk,oracle_n_calibration_rationale,oracle_test_risk,oracle_test_mean_atom_fraction,oracle_test_median_atom_fraction,oracle_test_precision,oracle_test_iou,oracle_n_test_rationale,excess_mean_atom_fraction,recoverable_efficiency,oracle_efficiency_pass
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,True,0.9306767868872284,1887,1847,0.8300000000000001,0.0977287608919986,0.8468982391419475,0.3340872922759832,0.3214103922293006,0.0944845880823141,0.90726752777742,0.0603692886354725,0.543909735815529,0.2039665847597629,True,False,0.3,0.09402434108316463,0.09450420107199857,1887,0.08899237155192759,0.3145430447201606,0.3125,0.8595613870904957,0.770569015538568,1847,0.5323551944217869,0.10185050619824089,True
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,True,0.9306767868872284,1887,1847,0.76,0.0941371200236928,0.7755804835294008,0.3656777795867114,0.3508058121191153,0.0944845880823141,0.90726752777742,0.1316870442480192,0.596825548321217,0.2011589017070879,True,True,0.3,0.09402434108316463,0.09450420107199857,1887,0.08899237155192759,0.3145430447201606,0.3125,0.8595613870904957,0.770569015538568,1847,0.4610374388092402,0.22217243932422104,True
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,True,0.9362490002995668,1887,1847,0.87,0.0977877037839139,0.886845717303693,0.3190296115702059,0.3073286263132065,0.0957089690373393,0.90726752777742,0.020421810473727,0.492098336102126,0.1991371431612363,True,False,0.3,0.09402434108316463,0.09450420107199857,1887,0.08899237155192759,0.3145430447201606,0.3125,0.8595613870904957,0.770569015538568,1847,0.5723026725835324,0.03445413688395628,True
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,True,0.9362490002995668,1887,1847,0.71,0.092807636777588,0.727164883610353,0.3862174933141384,0.3689884617232105,0.0957089690373393,0.90726752777742,0.180102644167067,0.7660225174572767,0.286158388824875,True,True,0.3,0.09402434108316463,0.09450420107199857,1887,0.08899237155192759,0.3145430447201606,0.3125,0.8595613870904957,0.770569015538568,1847,0.41262183889019244,0.3038555843654402,True
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,True,0.93217358922,1887,1847,0.6900000000000001,0.0921602483121162,0.7066609235190675,0.3997637105943275,0.381720920487301,0.0934866079898565,0.90726752777742,0.2006066042583525,0.5872678340328584,0.1996979393703812,True,True,0.3,0.09402434108316463,0.09450420107199857,1887,0.08899237155192759,0.3145430447201606,0.3125,0.8595613870904957,0.770569015538568,1847,0.3921178787989069,0.3384483178822447,True
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,True,0.93217358922,1887,1847,0.68,0.0951195979620451,0.6955214960377726,0.4027538760795683,0.383703439869766,0.0934866079898565,0.90726752777742,0.2117460317396474,0.6860680945615976,0.2462201930596625,True,True,0.3,0.09402434108316463,0.09450420107199857,1887,0.08899237155192759,0.3145430447201606,0.3125,0.8595613870904957,0.770569015538568,1847,0.380978451317612,0.3572419189561164,True
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,True,0.9953412585644438,1887,1847,0.93,0.0900985775038292,0.9462280636892684,0.3023874583842541,0.2937886658694099,0.0944845880823141,0.90726752777742,-0.0389605359118482,0.7364121498325613,0.4909389330815968,True,False,0.3,0.09402434108316463,0.09450420107199857,1887,0.08899237155192759,0.3145430447201606,0.3125,0.8595613870904957,0.770569015538568,1847,0.6316850189691078,-0.06573127485959543,True
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,True,0.9953412585644438,1887,1847,0.55,0.0965217330945539,0.5656559959354353,0.4933413549778935,0.4656706507652158,0.0944845880823141,0.90726752777742,0.3416115318419848,0.4636693714454949,0.1244043817879768,True,True,0.3,0.09402434108316463,0.09450420107199857,1887,0.08899237155192759,0.3145430447201606,0.3125,0.8595613870904957,0.770569015538568,1847,0.25111295121527466,0.5763411865154621,True
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,True,0.9934158904960436,1887,1847,0.96,0.0988452823320176,0.9747994993281844,0.2976899691448798,0.2916663100285164,0.0957089690373393,0.90726752777742,-0.0675319715507645,0.8025839622888892,0.6604160207435789,True,False,0.3,0.09402434108316463,0.09450420107199857,1887,0.08899237155192759,0.3145430447201606,0.3125,0.8595613870904957,0.770569015538568,1847,0.6602564546080238,-0.11393484406521563,True
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,True,0.9934158904960436,1887,1847,0.66,0.0950887671854104,0.6771674344541085,0.4150012599111202,0.3946820273522162,0.0957089690373393,0.90726752777742,0.2301000933233115,0.4635845337862121,0.1576490212047873,True,True,0.3,0.09402434108316463,0.09450420107199857,1887,0.08899237155192759,0.3145430447201606,0.3125,0.8595613870904957,0.770569015538568,1847,0.36262438973394795,0.3882075060177377,True
