cell_id,family,task,model,seed,explainer,predictor_competence_pass,test_auroc,n_calibration_rationale,n_test_rationale,fraction_grid,test_risk,mean_atom_fraction,precision,iou,random_test_risk,random_mean_atom_fraction,atom_fraction_saving_vs_random,fixed20_risk,fixed50_risk,risk_pass,efficiency_pass
google__benzene__gcn__seed123,google,benzene,gcn,123,gradinput,True,0.9055409055409055,1000,999,0.45,0.1100648267314934,0.47063527841021446,0.6792763542763541,0.6139630635459669,0.0954353162686496,0.9031661198214196,0.4325308414112051,0.4799301285412396,0.07998355498355499,False,True
google__benzene__gcn__seed123,google,benzene,gcn,123,ig,True,0.9055409055409055,1000,999,0.55,0.0948621240287907,0.5716810705784846,0.5779763890875002,0.5389114533593379,0.0954353162686496,0.9031661198214196,0.331485049242935,0.5293615043615043,0.1366707977819089,True,True
google__benzene__gcn__seed2026,google,benzene,gcn,2026,gradinput,True,0.9104669104669104,1000,999,0.49,0.1034220728665173,0.5119776375360348,0.6314577286799509,0.5790425040726038,0.09806771056771056,0.9031661198214196,0.39118848228538483,0.5391462891462891,0.1034220728665173,False,True
google__benzene__gcn__seed2026,google,benzene,gcn,2026,ig,True,0.9104669104669104,1000,999,0.51,0.10471900471900474,0.5344928656068183,0.6075252158585491,0.5609350794378314,0.09806771056771056,0.9031661198214196,0.3686732542146013,0.5255507491618604,0.12105935300379744,False,True
google__benzene__gcn__seed42,google,benzene,gcn,42,gradinput,True,0.9302719302719303,1000,999,0.48,0.10053188108743663,0.5040497096081068,0.6459440320551432,0.5915181873730206,0.09640851168628947,0.9031661198214196,0.3991164102133128,0.47847589653145206,0.09551714412825524,False,True
google__benzene__gcn__seed42,google,benzene,gcn,42,ig,True,0.9302719302719303,1000,999,0.47000000000000003,0.10280220696887363,0.48970983081810027,0.6599771488660378,0.6037253316450083,0.09640851168628947,0.9031661198214196,0.4134562890033193,0.46725773392440056,0.08836137725026615,False,True
google__benzene__gin__seed123,google,benzene,gin,123,gradinput,True,0.9713129713129713,1000,999,0.9400000000000001,0.09441922080810969,0.9575645508922009,0.3556615195535867,0.34419030361867,0.0954353162686496,0.9031661198214196,-0.05439843107078135,0.9030806600251045,0.7263207652096542,True,False
google__benzene__gin__seed123,google,benzene,gin,123,ig,True,0.9713129713129713,1000,999,0.51,0.10026653637764749,0.5344928656068183,0.6092161703272814,0.5605841587523734,0.0954353162686496,0.9031661198214196,0.3686732542146013,0.505915836471392,0.11187794937794937,False,True
google__benzene__gin__seed2026,google,benzene,gin,2026,gradinput,True,0.9726739726739727,1000,999,0.81,0.08559213975880642,0.8355199614449401,0.4047899542223587,0.38868904505333063,0.09806771056771056,0.9031661198214196,0.06764615837647947,0.6415341929230818,0.32767886934553603,True,False
google__benzene__gin__seed2026,google,benzene,gin,2026,ig,True,0.9726739726739727,1000,999,0.79,0.09405278294167183,0.8109944835861289,0.41089937410026844,0.39063164150296403,0.09806771056771056,0.9031661198214196,0.09217163623529068,0.9834103945215056,0.5015602904491794,True,False
google__benzene__gin__seed42,google,benzene,gin,42,gradinput,True,0.9731884731884732,1000,999,0.8300000000000001,0.10928329122773567,0.8503733407484473,0.3884930443065977,0.3711982206605754,0.09640851168628947,0.9031661198214196,0.05279277907297231,0.5326028409361743,0.2520774742996965,False,False
google__benzene__gin__seed42,google,benzene,gin,42,ig,True,0.9731884731884732,1000,999,0.73,0.10225344392011057,0.7551707536987445,0.43822005487812166,0.41613412916190323,0.09640851168628947,0.9031661198214196,0.14799536612267505,0.7007384368495478,0.28726285809619145,False,True
google__logic10__gcn__seed123,google,logic10,gcn,123,gradinput,True,0.8715098349724955,192,112,0.81,0.0879145408163265,0.8360362351772493,0.5402046877209968,0.5145585950287873,0.09316189762618332,0.9043177969998629,0.06828156182261358,0.7509362289496219,0.32956110110127973,True,False
google__logic10__gcn__seed123,google,logic10,gcn,123,ig,True,0.8715098349724955,192,112,0.67,0.10199807632843347,0.6977497682005145,0.635333738681953,0.594140382505597,0.09316189762618332,0.9043177969998629,0.20656802879934844,0.7389417502140716,0.2478414071048,False,True
google__logic10__gcn__seed2026,google,logic10,gcn,2026,gradinput,True,0.9004417402900483,192,112,0.8,0.09742404173207743,0.8213806229323514,0.5442948819127087,0.5164096487954156,0.08672978806907375,0.9140376849550449,0.09265706202269353,0.7351338393749108,0.32469290382236815,True,False
