cell_id,family,task,model,seed,explainer,alpha,crc_fraction,crc_test_risk,crc_mean_atom_fraction,naive_fraction,naive_test_risk,random_fraction,crc_minus_naive_fraction,risk_pass,efficiency_pass
bxaic__P__gin__seed42,bxaic,P,gin,42,ig,0.1,0.02,0.10976490624748046,0.03654573825758572,0.02,0.10976490624748046,0.9274815943093282,0.0,False,True
bxaic__P__gin__seed42,bxaic,P,gin,42,ig,0.2,0.01,0.12610950193699597,0.03475498746109547,0.01,0.12610950193699597,0.8137475244309407,0.0,True,True
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,gradinput,0.05,0.9400000000000001,0.041011763462845074,0.9576176765857717,0.9400000000000001,0.041011763462845074,0.9576176765857717,0.0,True,False
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,gradinput,0.1,0.89,0.09576963674243961,0.9091218677307263,0.89,0.09576963674243961,0.9091218677307263,0.0,True,False
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,gradinput,0.2,0.8,0.1956617947862849,0.8149319138164086,0.8,0.1956617947862849,0.8085992408466761,0.0,True,False
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,ig,0.05,0.92,0.04289762735267497,0.9380635432447605,0.92,0.04289762735267497,0.9576176765857717,0.0,True,False
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,ig,0.1,0.86,0.08862644004046176,0.8782821505199192,0.86,0.08862644004046176,0.9091218677307263,0.0,True,False
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,ig,0.2,0.73,0.19292904035226244,0.7480814401090432,0.73,0.19292904035226244,0.8085992408466761,0.0,True,True
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,gradinput,0.05,0.93,0.04681714691160101,0.9485539954456151,0.93,0.04681714691160101,0.9576176765857717,0.0,True,False
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,gradinput,0.1,0.88,0.09842741786539667,0.8975096610559893,0.88,0.09842741786539667,0.9091218677307263,0.0,True,False
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,gradinput,0.2,0.79,0.18989269401724768,0.8085992408466761,0.79,0.18989269401724768,0.8085992408466761,0.0,True,False
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,ig,0.05,0.9,0.046979093179355606,0.9157370192095665,0.9,0.046979093179355606,0.9576176765857717,0.0,True,False
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,ig,0.1,0.8300000000000001,0.09580133570717822,0.8488238590750994,0.8300000000000001,0.09580133570717822,0.9091218677307263,0.0,True,False
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,ig,0.2,0.72,0.19410345484081812,0.7376837897989358,0.72,0.19410345484081812,0.8085992408466761,0.0,True,True
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,gradinput,0.05,0.9400000000000001,0.044633373756444425,0.9576176765857717,0.9400000000000001,0.044633373756444425,0.9485539954456151,0.0,True,False
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,gradinput,0.1,0.89,0.09931977594233815,0.9091218677307263,0.89,0.09931977594233815,0.8975096610559893,0.0,True,False
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,gradinput,0.2,0.81,0.1857484349328107,0.8288222076854092,0.81,0.1857484349328107,0.8085992408466761,0.0,True,False
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,ig,0.05,0.9400000000000001,0.047966777414911364,0.9576176765857717,0.9400000000000001,0.047966777414911364,0.9485539954456151,0.0,True,False
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,ig,0.1,0.89,0.09730453274525726,0.9091218677307263,0.89,0.09730453274525726,0.8975096610559893,0.0,True,False
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,ig,0.2,0.77,0.20259014443986958,0.7885640718930422,0.77,0.20259014443986958,0.8085992408466761,0.0,False,True
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,gradinput,0.05,0.96,0.04765510656595746,0.9776360379657538,0.96,0.04765510656595746,0.9576176765857717,0.0,True,False
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,gradinput,0.1,0.9400000000000001,0.08501788191653958,0.9576176765857717,0.9400000000000001,0.08501788191653958,0.9091218677307263,0.0,True,False
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,gradinput,0.2,0.87,0.18998959218724734,0.888724311517938,0.87,0.18998959218724734,0.8085992408466761,0.0,True,False
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,ig,0.05,0.89,0.048736187379946845,0.9091218677307263,0.89,0.048736187379946845,0.9576176765857717,0.0,True,False
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,ig,0.1,0.8,0.09777046625151047,0.8149319138164086,0.8,0.09777046625151047,0.9091218677307263,0.0,True,False
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,ig,0.2,0.62,0.19324151491478925,0.6384061278452975,0.62,0.19324151491478925,0.8085992408466761,0.0,True,True
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,gradinput,0.05,0.97,0.01768166723453751,0.9931171527339899,0.97,0.01768166723453751,0.9576176765857717,0.0,True,False
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,gradinput,0.1,0.9400000000000001,0.08382610151860423,0.9576176765857717,0.9400000000000001,0.08382610151860423,0.9091218677307263,0.0,True,False
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,gradinput,0.2,0.88,0.18722644655084741,0.8975096610559893,0.88,0.18722644655084741,0.8085992408466761,0.0,True,False
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,ig,0.05,0.86,0.04617262499764448,0.8782821505199192,0.86,0.04617262499764448,0.9576176765857717,0.0,True,False
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,ig,0.1,0.74,0.09635292897676799,0.75809815428355,0.74,0.09635292897676799,0.9091218677307263,0.0,True,True
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,ig,0.2,0.55,0.19347451483720296,0.5674997794069838,0.55,0.19347451483720296,0.8085992408466761,0.0,True,True
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,gradinput,0.05,0.96,0.046151921580054565,0.9776360379657538,0.96,0.046151921580054565,0.9485539954456151,0.0,True,False
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,gradinput,0.1,0.93,0.09759007639426302,0.9485539954456151,0.93,0.09759007639426302,0.8975096610559893,0.0,True,False
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,gradinput,0.2,0.87,0.18913339246251923,0.888724311517938,0.87,0.18913339246251923,0.8085992408466761,0.0,True,False
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,ig,0.05,0.93,0.047156413217349695,0.9485539954456151,0.93,0.047156413217349695,0.9485539954456151,0.0,True,False
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,ig,0.1,0.84,0.10021768040983,0.8573713715364746,0.84,0.10021768040983,0.8975096610559893,0.0,False,False
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,ig,0.2,0.61,0.19964008105780326,0.628566785665255,0.61,0.19964008105780326,0.8085992408466761,0.0,True,True
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,gradinput,0.05,0.93,0.045360770329485184,0.9473877485874485,0.93,0.045360770329485184,0.9571779041803892,0.0,True,False
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,gradinput,0.1,0.88,0.0927757386435866,0.8966978540680908,0.88,0.0927757386435866,0.9084471118578897,0.0,True,False
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,gradinput,0.2,0.78,0.1937092871626025,0.7971579104548313,0.78,0.1937092871626025,0.807336124194903,0.0,True,True
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,ig,0.05,0.91,0.04944381788484199,0.9282105650069855,0.91,0.04944381788484199,0.9571779041803892,0.0,True,False
