cell_id,family,task,model,seed,method,n_calibration,n_test,risk,atom_fraction,precision,iou,selected_grid_fraction,risk_pass,efficiency_pass
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,gradinput,100,100,0.07611338669970555,0.9076411038403573,0.6507346266939288,0.6172162847584681,0.89,True,False
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,ig,100,100,0.07835778799239657,0.8872125704119393,0.6639465105111847,0.6280991478157486,0.87,True,False
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,saliency,100,100,0.08002894499509638,0.9076411038403573,0.6465834448202501,0.6096034826274189,0.89,True,False
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,atom_occlusion,100,100,0.08599720501918039,0.9076411038403573,0.6472813827623163,0.6140813646263523,0.89,True,False
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,gnnexplainer,100,100,0.11506520771407272,0.8777349510804262,0.650451058693667,0.6046004013389114,0.86,False,False
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,gradinput,100,100,0.08718967594029184,0.9281710810469108,0.6309787157219137,0.5963979317290792,0.91,True,False
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,ig,100,100,0.08952419856366697,0.9076411038403573,0.6406771657030906,0.601059362298521,0.89,True,False
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,saliency,100,100,0.07894655698372982,0.8064764227207614,0.7227627738185304,0.6734735290591303,0.79,True,False
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,atom_occlusion,100,100,0.09682633962683522,0.9076411038403573,0.6433093603751542,0.6089854649451479,0.89,True,False
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,gnnexplainer,100,100,0.08244570168952031,0.9143819189606812,0.6418504154426512,0.6060652846600797,0.9,True,False
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,gradinput,100,100,0.08451350562250055,0.9076411038403573,0.6447447319131805,0.6077280596706666,0.89,True,False
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,ig,100,100,0.0900113660081809,0.9143819189606812,0.6364108978841273,0.597458792765218,0.9,True,False
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,saliency,100,100,0.06689546363071369,0.9281710810469108,0.6467222693209638,0.6213306249656304,0.91,True,False
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,atom_occlusion,100,100,0.08719874162294428,0.9076411038403573,0.6459408196549065,0.6118758184650737,0.89,True,False
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,gnnexplainer,100,100,0.08788960356617015,0.9076411038403573,0.6445532718845558,0.607973989100081,0.89,True,False
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,gradinput,100,100,0.08669594480820038,0.9143819189606812,0.6436050115048825,0.611103943592209,0.9,True,False
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,ig,100,100,0.08695225076245401,0.9143819189606812,0.6433945155834238,0.6118966731117925,0.9,True,False
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,saliency,100,100,0.10058882761259966,0.7973471814781139,0.7156857645278382,0.6596759336824669,0.78,False,True
